Date,User,Tweet,Retweet
2022-12-27 23:57:42+00:00,uyeeeb_,"@deadofficer @utdfocusid Itumah pemain lapis yang maen kocak, mau piala dunia soalnya",0
2022-12-27 23:52:08+00:00,kompasiana,Kenangan Manis Piala Dunia 2022 https://t.co/dsUuq2xml0,0
2022-12-27 23:52:03+00:00,VDanomira,Menghargai berbagai macam keragaman pilihan dan idola dalam mengikuti Piala Dunia Qatar. Entah itu Sporter sejati atau Sporter musiman. 🇦🇷🙏😇 https://t.co/WfSHfR20fB,0
2022-12-27 23:50:54+00:00,fansharustau,Bola dan sepatu buatan Indonesia digunakan   untuk piala dunia.,0
2022-12-27 23:49:11+00:00,lewis19338853,Antony Santos Sambut Piala Dunia dengan 5 Tato Baru https://t.co/i2urtrIFXL,0
2022-12-27 23:48:43+00:00,InfoRakyatKini,"Piala Asia jambatan ke Piala Dunia
more: https://t.co/Xe79Rt1FnY
#MalaysiaPrihatin
#MalaysiaSejahtera https://t.co/YGTS6jiHQM",1
2022-12-27 23:46:58+00:00,uyeeeb_,"@Kulo85321884 @abi1920_ @idextratime Gak full skuad, maklum mau piala dunia yang maen lapis kedua",0
2022-12-27 23:46:37+00:00,antaramakassar,Menpora menekankan empat sukses Piala Dunia U-20 2023 https://t.co/q5hoOzyStK,0
2022-12-27 23:42:51+00:00,Nugra981,Setelah nonton piala dunia lanjut nonton AFF kek gimana gituu ..,0
2022-12-27 23:42:11+00:00,salehali2019,@YanHarahap Kan punya kartu AS baik pak dem maupun pak nas sama sama buka saja kepublik biar makin terang benderang tersiar seantero dunia keq piala dunia itu..segera persiapakan konfrensi pers..siap laksanakan..,0
2022-12-27 23:41:38+00:00,Saiful_Bhara,"Kayak piala dunia saja, bergilir.

Namanya juga Codot, biasanya makan buah buah yang manis dan tentunya sudah siap dimakan. Meski yang agak kedaluarsa mblondot karena terlalu tua masih nyantol dibatang tetep saja disikat.",0
2022-12-27 23:41:38+00:00,Saiful_Bhara,"Codot dikiaskan jenis hewan saja soalnya ini rakus banget bisa dikatakan kelakuan atau doyan makan segala sampek sampek mertuanya sendiri di buat lawan tanding kayak piala dunia. Malamnya tanding dengan anaknya, eh waktu sepi saat bininya kerja digoyang juga mertuanya. https://t.co/UpK2T2Xo3A",0
2022-12-27 23:39:01+00:00,SiaranBolaLive,Qatar University akan jadikan kamar tempat menginap Messi selama Piala Dunia 2022 menjadi Museum Kecil. https://t.co/8JNVEGR3SH,32
2022-12-27 23:37:02+00:00,liputan6dotcom,Wajah Lionel Messi dan Trofi Piala Dunia Jadi Inspirasi Favorit Tato Baru Warga Argentina https://t.co/DmoaRDh2K8,0
2022-12-27 23:34:50+00:00,playnet88online,"Jadwal Pertandingan Tgl 28 &amp; 29 DESEMBER 2022 Informasi lebih lanjut bisa menghubungi kami :
WA : https://t.co/6eGEYWKUpe 
#playnet88online #worldcup #worldcup2022 #worldcupqatar2022 #worldcupqatar #pialadunia2022 #pialadunia #pialaduniaqatar #pialaduniaqatar2022 https://t.co/Lu15F8sHaD",0
2022-12-27 23:34:28+00:00,Vanssng3,Messi: Trofi Piala Dunia 2022 untuk Maradona https://t.co/Z0SvVErF0n,0
2022-12-27 23:33:18+00:00,SeputarInfoo,"Meskipun seluruh dunia dilanda fenomena Piala Dunia FIFA, di Amerika Serikat, kejuaraan ini hampir tak terdengar.",0
2022-12-27 23:32:47+00:00,GOAL_ID,"#Newcastle memplot Pemain Muda Terbaik Piala Dunia 2022 itu sebagai salah satu target pada bursa transfer Januari mendatang.

https://t.co/1uPFk0coHY",0
2022-12-27 23:32:45+00:00,bhulukhuduktv,"4. Suhandinata Cup 2022

Piala Suhandinata adalah Kejuaraan Dunia Bulutangkis Junior, tetapi dilangsungkan dalam nomor beregu. Tahun 2019 lalu, Indonesia menyabet medali emas.",2
2022-12-27 23:29:59+00:00,Imertomo,@daikiannn @Indostransfer Buat Piala Dunia 2050,0
2022-12-27 23:28:14+00:00,manutd_world,"Erik ten Hag: ""Rapha menunjukkan kepribadiannya hari ini, dengan membantu #mufc (dengan ia menjadi finalis Piala Dunia pertama tahun ini yang kembali starter untuk klubnya). Ia mengemban tanggung jawab untuk bermain dan ia bekerja dengan baik.""

#PostMatchReaction
#MUNNFO #PL https://t.co/gZ3xO2zVcw",9
2022-12-27 23:26:02+00:00,KompasBola,Kamar Tidur Messi selama Piala Dunia 2022 Bakal Abadi Jadi Museum https://t.co/crd9zBvRv6,0
2022-12-27 23:25:46+00:00,Jeferson00715,"@LisandrMartinez Hei, balik kau,,!! Jangan seenaknya saja. Piala dunia telah usai, kau punya tanggung jawab di Klub, Gila.",0
2022-12-27 23:25:10+00:00,Nova88Indo,Berita Bola Terkini Nova88 Indonesia Klik https://t.co/VsbRjz8w7o : Menerka Hubungan Messi dan Mbappe di PSG Usai Duel Panas Final Piala Dunia 2022 https://t.co/UF7kS2duGI https://t.co/pmH036hrQG,0
2022-12-27 23:24:02+00:00,tauberitamedia,"Kamar tidur kapten timnas Argentina, Lionel Messi, selama Piala Dunia 2022 akan diubah menjadi museum oleh Qatar University dalam waktu dekat.  https://t.co/1wikiTz5lx",0
2022-12-27 23:21:04+00:00,manutd_world,"Marcus Rashford: ""Sepakbola dipenuhi momen naik turun dan Anda harus belajar untuk mencoba mengendalikan emosi Anda, terkadang itu sulit. Tersingkir dari Piala Dunia misalnya, adalah sebuah kekecewaan besar.""

#PostMatchReaction
#MUNNFO #PL https://t.co/QJfP0yrFjj",4
2022-12-27 23:20:55+00:00,fansharustau,"Indonesia merupakan wakil Asia pertama yang   berlaga di Piala Dunia FIFA, tepatnya pada  Fifa   World Cup 1938 dengan nama Hindia  Belanda",0
